price;price_per_meter;area;rooms;floor;market_type;furnished;building_type;description;district;date;url
1 090 000 zł do negocjacji;Cena za m²: 17648.96 zł/m²;61,76;3;1;Wtórny;;Blok;"OPIS
Na sprzedaż mieszkanie 3-pokojowe w bardzo dobrej lokalizacji przy Ratuszu Bemowo - wejście do metra M2 stacja Bemowo-Ratusz, znajduje się zaledwie ok 200m. Dojazd do centrum metrem ok 15-20 min. Bardzo dobra siatka połączeń autobusowych oraz tramwajowych (przystanki rozlokowane również blisko mieszkania) W okolicy szkoły, hipermarkety – Lidl i Kaufland, kościół, przychodnia, ratusz.

Mieszkanie o łącznej powierzchni 61,76 m2 składa się z:
- pokoju dziennego z aneksem kuchennym otwartym na salon ok 25 m2
- pokój 10,5 m2
- pokój 10 m2
- łazienka z wanną
- oddzielne wc
- przedpokój z szafą w zabudowie
- loggia o powierzchni ok 9m2.

Do mieszkania przynależy miejsce parkingowe z przylegającym boksem garażowym o powierzchni łącznej ok 42 m2 dodatkowo płatne – 100 000 zł

Mieszkanie położone na 1 piętrze w 4 piętrowym bloku, winda. Dzięki temu, że lokal znajduje się wewnątrz osiedla, w niskiej zabudowie zapewnia to, że mieszkanie jest ciche, bez dochodzących odgłosów z głównych ulic. Mieszkanie jest również ciepłe, nie jest mieszkaniem narożnym.
Całkowity czynsz do wspólnoty obecnie wynosi ok. 830 zł

Mieszkanie gotowe do zamieszkania, bez dodatkowych nakładów finansowych.

Mieszkanie własnościowe, sprzedaż bezpośrednia - ominięcie pośredników pozwala zaoszczędzić w przypadku takiej nieruchomości ok. 30 tysięcy złotych. Możliwość kredytowania.

Agencjom Nieruchomości dziękujemy.

• Na sprzedaż mieszkanie 3-pokojowe o pow. 61,76 m²
• 1 piętro w 4-piętrowym bloku
• Warszawa, Bemowo
• Ogłoszenie bezpośrednio od właściciela";Bemowo;2025-03-20;https://www.olx.pl/d/oferta/3-pokojowe-mieszkanie-na-sprzedaz-bemowo-metro-bemowo-ratusz-CID3-ID14tIbs.html
1 098 000 zł do negocjacji;Cena za m²: 15464.79 zł/m²;71;3;8;Wtórny;;Blok;"OPIS
* Przestronne i słoneczne mieszkanie z widokiem na panoramę Bielan *
Chcesz mieszkać z pięknym widokiem z okna? Świetnie położonym i skomunikowanym?
To mieszkanie Cię zachwyci!

• Przestronne trzy pokoje z dużymi oknami
• Mieszkanie pięknie doświetlone (ekspozycja płd. I płd.-zach)
• Świetnia komunikacja - w centrum jesteś w 15 minut
• Stacja Metra 5 min spacerkiem
• Piękny widok na panoramę Bielan i Warszawy
• Cicha i spokojna okolica - idealna do relaksu
• Żłobek, przedszkole, szkoła podstawowa, liceum - wszystko jest na miejscu
• Wszystko czego potrzebujesz jest na miejscu, ale jeśli chcesz to w centrum jesteś w 15 minut
• Obok park, ładny staw, siłownia pod chmurką i tereny zielone - idealne dla osób aktywnych i ceniących przyrodę
• Mieszkanie, które spełni Twoje marzenia o idealnym domu

• Możesz OSZCZĘDZIĆ od 34'500 zł do 57'000 zł* na prowizji pośrednika bo sprzedaję bezpośrednio!

Przestronne, ustawne i słoneczne mieszkanie w warszawskiej dzielnicy Bielany przy ul. Dantego.

Komfortowe mieszkanie o powierzchni 70.90 m² o południowo-zachodniej ekspozycji, składające się z 3 pokoi, w tym pokoju dziennego 23.80 m², dwóch pokoi po 11.10 m², oddzielnej kuchni 6.60 m², łazienki (2.60 m²), WC (1.50 m²) i przedpokoju o powierzchni 10,80 m² i oddzielna garderoba 3,9 m².

Pokój dzienny z dużym balkonem o południowej ekspozycji z szerokim widokiem na panoramę Bielan świetnie nadaje się na chwilę odpoczynku przy popołudniowej kawie
Dodatkowo komórka lokatorska o powierzchni 2.03 m².

Osoby ceniące komfort i przestrzeń świetnie się tu odnajdą: duże (ale nie ogromne) pokoje, funkcjonalny układ i dodatkowe pomieszczenia, takie jak garderoba (czy spiżarnia), zapewniają wygodę.

Mieszkanie położone w świetnej lokalizacji:
- stacja Metra (420 metrów)
- liczne połączenia autobusowe (400 m)
- bazarek Wolumen ze dostawami świeżych warzyw, owoców od lokalnych dostawców (400 m)
- liczne sklepy w okolicy: Biedronka (140 m), Lidl (750m), Carrefour (900 m)
- apteka (140 m)
- kompleks sportowy, w tym basen, CSR Bielany (700 m)
- szkoła podstawowa (300 m),
- przedszkole (300 m)
- liceum ogólnokształcące (500 m)
- bliskość Parku Bielańskiego (900 m)
- Akademia Wychowania Fizycznego (2 km)
- Szpital Bielański (1,4 km)
- przychodnie zdrowia państwowe i prywatne
- Galeria Handlowa Północna

Świetna komunikacja i pełna infrastruktura w okolicy. Idealne dla rodziny z dziećmi, dzięki bliskości przedszkoli, szkół i placów zabaw.

Mieszkanie jest słoneczne i przytulne, z pięknym widokiem z 8. piętra, stwarzając idealne warunki do życia.

Zapewnij sobie bezpieczeństwo i komfort na miejscu i świetną komunikację z Centrum miasta.

Oferta mieszkania jest dostępna na wielu portalach bez pośredników i ekstra prowizji.

* Sprzedaż bez pośrednika. Możesz oszczędzić od ok. 34'000 zł do 57'400 zł - tyle wynosi wartość typowej prowizji 3-5%, którą zapłacisz pośrednikowi dla nieruchomości o tej wartości. Czy warto? No raczej warto!

Nie zwlekaj, to okazja, której nie możesz przegapić!
Zadzwoń już teraz i umów się na obejrzenie! :)";Bielany;2025-03-21;https://www.olx.pl/d/oferta/sloneczne-mieszkanie-m3-z-widokiem-kolo-metra-warszawa-bielany-CID3-ID14AhkW.html
;;;;;;;;;;;https://www.olx.pl/d/oferta/mieszkanie-sprzedaz-miasteczko-wilanow-zdrowa-40-mkw-CID3-ID14IYQx.html
1 150 000 zł;Cena za m²: 22917.5 zł/m²;50,18;2;1;Wtórny;;Apartamentowiec;"OPIS
Na sprzedaż mieszkanie o powierzchni 50,18 m² położone w nowoczesnym apartamentowcu.
Lokal składa się z:
- jasnego salonu z kuchnią,
- wygodnej sypialni,
- łazienki z WC,
- przedpokoju.

Dodatkowe atuty to taras o powierzchni 40 m² oraz loggia 3,54 m², które oferują przestrzeń na odpoczynek.
NA ŻYCZENIE KUPUJĄCEGO MIESZKANIE ZOSTANIE WYKOŃCZONE POD OKIEM PROFESJONALNEGO PROJEKTANTA WNĘTRZ.
Lokalizacja:
Mieszkanie zlokalizowane przy ul. Kolejowej 19 oferuje świetny dostęp do komunikacji:
- Metro Rondo Daszyńskiego – 8 minut,
- Dworzec Zachodni – 15 minut,
- Lotnisko Chopina – 25 minut.

W pobliżu znajdują się sklepy, restauracje, centra fitness i tereny zielone.

Budynek:
Mieszkanie znajduje się na osiedlu „Kolej na 19” oddanym do użytkowania w 2024 roku. Kameralne budynki, piękne elewacje i wysokiej jakości wykończenie to wyróżniki tej inwestycji.

Do mieszkania przynależy miejsce parkingowe w hali garażowej dodatkowo płatne 80 000 zł.";Ochota;2025-03-22;https://www.olx.pl/d/oferta/bez-pcc-bezposrednio-2-pokoje-CID3-ID14VvAE.html
899 000 zł;Cena za m²: 17980 zł/m²;50;2;3;Wtórny;;Apartamentowiec;"OPIS
Oferta na wyłączność! Klucze w biurze!

Ulica: Gieysztora

Na sprzedaż mieszkanie 2 pokojowe o powierzchni ok. 50 mkw, położone na 3 piętrze w budynku 3 piętrowym z windą z 2014 roku.

Na lokal składa się:

- pokój dzienny o powierzchni 18 mkw, z wyjściem na balkon (4,65 mkw),

- kuchnia z oknem o powierzchni 6,7 mkw, otwarta na pokój, meble w zabudowie wraz ze sprzętami,

- sypialnia z balkonem francuskim, o powierzchni ok.10,5 mkw,

- łazienka razem z WC, kabina prysznicowa, o powierzchni 4 mkw,

- garderoba, o powierzchni 1,15 mkw,

- przedpokój z szafą o powierzchni ok. 7 mkw.

Mieszkanie dwustronne, ciepłe, ciche, w stanie bardzo dobrym. Okna drewniane, drewniana podłoga.

Osiedle kameralne, zamknięte, z ochroną, monitorowane. Teren osiedla bardzo ładnie zagospodarowany, z placem zabaw dla dzieci.

Do lokalu przynależy miejsce postojowe w garażu podziemny, dodatkowo płatne.

Pełna własność, z KW. Możliwość posiłkowania się kredytem.

Lokal wolny, do natychmiastowego wydania!

Bardzo dobrze rozwinięta infrastruktura w okolicy: liczne sklepy, punkty usługowe, restauracje, szkoły, przedszkola, park, przychodnia.

Komunikacja:
ok 550 m do przystanku autobusowego, linie: A 139, 163, 164, 200, 251*********** 519 oraz N 31, 50.

ok 700 m do przystanku tramwajowego, linie T 14 i 16.

Gorąco polecam i zapraszam na prezentację!";Wilanów;2025-03-22;https://www.olx.pl/d/oferta/2-pokoje-wilanow-CID3-ID145wi6.html
1 350 000 zł;Cena za m²: 18493.15 zł/m²;73;3;3;Wtórny;;Blok;"OPIS
Ogłoszenie bezpośrednio od właściciela, wszystkim pośrednikom i agencjom dziękuję- proszę nie dzwonić!!

Podstawowe informacje:
Oferuję do sprzedania 3 pokojowe mieszkanie o powierzchni 73 m2. Lokal położony jest na trzecim piętrze w bloku z 2008 r. z windą. W skład mieszkania wchodzą trzy niezależne duże pokoje, oddzielna widna kuchnia, łazienka z wanną, toaleta, przedpokój oraz przestronny balkon.
Dadatkowym atutem mieszkania jest miejsce postojowe w podziemnym garażu dodatkowo płatne 40 000 zł (zakup nie obligatoryjny, oddzielna KW na garaż).Blokiem zarządza Wspólnota mieszkaniowa, jest monitoring oraz 24 h ochrona. Na poziome 0 liczne sklepy i punkty usługowe.

Opis mieszkania:

Mieszkanie posiada bardzo funkcjonalny układ pomieszczeń oraz jest bardzo przestronne , okna wychodzą na dwie strony budynku. Dwa pokoje i kuchnia wychodzą na ciche wewnętrzne patio. Od tej samej strony znajduje się też balkon, na którym można wypocząć na świeżym powietrzu w ciszy zdala od ulicznego ruchu.
Z dużego holu zabudowanego w pojemną szafę można dostać się do wszystkich pomieszczeń.
To idealny wybór dla rodziny 2+2
Dla zwolenników otwartych przestrzeni istnieje możliwość otwarcia kuchni na salon i stworzenia jednego przestronnego pomieszczenia
Kuchnia zabudowana i zrobiona pod wymiar przez stolarza (właściciela) z wykorzystaniem wysokiej jakości materiałów i sprzętu.
Pokoje wyposażone w duże pojemne szafy zapewniające dodatkowe miejsce do przechowywania.
Łazienka z wanną z możliwością wzięcia prysznica.
Stan techniczny lokalu jest dobry, można od razu się wprowadzić bez większych nakładów.

Lokalizacja:
Mieszkanie położone jest w świetnym punkcie komunikacyjnym, w samym sercu Sadyby.
Bliskie sąsiedztwo Parku Stanisława Dygata, czyni to miejsce idealnym dla rodzin z dziećmi. Dodatkowo w pobliżu znajdują się liczne place zabaw, szkoły w tym międzynarodowe, żłobki. Tuż obok znajduje się Centrum Handlowe Sadyba Best Mall, kino, kino IMAX – jedyne w Warszawie, poczta, apteka i liczne punkty handlowo-usługowe zapewniające dostęp do rzeczy pierwszej potrzeby. W bliskiej okolicy znajduje się Jeziorko Czerniakowskie.
Zapraszam do kontaktu i obejrzenia mieszkania";Mokotów;;https://www.olx.pl/d/oferta/3-pokoje-73-m2-w-swietnej-lokalizacji-na-sadybie-CID3-ID14HPz1.html
620 000 zł;Cena za m²: 17366.95 zł/m²;35,70;2;2;Wtórny;;Blok;"OPIS
Do sprzedaży przestronna, cicha kawalerka (obecnie mieszkanie jest przekształcone na 2 pokoje) o pow. 35,70m2 z miejscem postojowym w hali garażowej, w bloku w niskiej zabudowie na Pradze Południe, ul . Zgierskiej.

Mieszkanie przy zakupie od developera zostało podzielone na 2 pokoje.

Kuchnia ok 7,5m2
Pokój dzienny ok 13m2
Sypialnia ok 8m2
Łazienka ok 4m2
Korytarz ok 3m2
Duzy balkon ok 6m2
Mieszkanie dwustronne, położone przy kameralnej ulicy.

Blok z cegły, wybudowany 2011 r.
Piętro 2 z 4, tylko 3 lokale na piętrze. Blok czysty, zadbany, bez windy.

Mieszkanie własnościowe, Księga Wieczysta.
Czynsz do spółdzielni ok 600zł.
Cena 620tys za całą nieruchomość
(w tym 30tys miejsce postojowe w garażu podziemnym jako zakup obligatoryjny).

Mieszkanie remontowane w 2011 r. Na podłodze panele i gres. W mieszkaniu nowe plastykowe okna. Mieszkanie umeblowane, czyste, gotowe do wprowadzenia. Dotychczas zamieszkiwane przez dzieci właścicieli. Doskonałe na inwestycje/na najem, położone w doskonałej lokalizacji: ok 600m do węzła komunikacyjnego Wiatraczna, ok 350m do przystanku autobusowego RAWAR (bus pas) z dojazdem do Centrum Warszawy w ciągu 12min.

Ogłoszenie biura nieruchomości.
Zapraszamy na prezentację.
tel. 60*****51
Ilona
Home Sweet Home";Praga-Południe;2025-03-21;https://www.olx.pl/d/oferta/do-sprzedazy-2-pokoje-35-7m2-na-pradze-poludnie-z-garazem-podziemnym-CID3-ID152hao.html
739 000 zł do negocjacji;Cena za m²: 19194.81 zł/m²;38,50;2;10;Wtórny;;Blok;"OPIS
Do sprzedania dwupokojowe mieszkanie przy ul. Saskiej.
Mieszkanie w idealnym stanie, umeblowane gotowe do wprowadzenia bez żadnych nakładów finansowych.

Standard wykończenia
Mieszkanie świeżo po gruntownym remoncie (łącznie z instalacjami). Zaprojektowane w nowoczesnym stylu wnętrze gdzie dominuje biel, odcienie szarości i drewna. Zastosowane materiały i kolory tworzą spójną całość zachwycając elegancją i prostotą.

Zalety
- dużo miejsca do przechowywania - zabudowa wnękowa wykonana na zamówienie przez stolarza,
- kuchnia na wymiar wysokiej jakości sprzętem AGD,
- ostatnie piętro,
- wystawa okien na wschodnią stronę.

Lokalizacja
Doskonała lokalizacja! Wygodne miejsce do życia! W najbliższym sąsiedztwie sklepy (w tym Biedronka, apteka), przystanek autobusowy, szkoła, przedszkole, bazarek przy ul. Egipskiej, restauracje itp.

Rozkład pomieszczeń
Pokój dzienny 16,5 m2 z wyjściem na balkon
Sypialnia 8,5 m2
Kuchnia 5,5 m2
Łazienka 3,5 m2
Przedpokój 4,5 m2.

Do mieszkania przynależy piwnica.

BIURA NIERUCHOMOŚCI ZAPRASZAM WYŁĄCZNIE Z POTENCJALNYM KUPUJĄCYM.

Zapraszam do kontaktu - po godzinie 17.00";Praga-Południe;2025-03-21;https://www.olx.pl/d/oferta/gotowe-do-wprowadzenia-mieszkanie-przy-ul-saskiej-CID3-ID14IqMV.html
580 000 zł;Cena za m²: 19035.12 zł/m²;30,47;2;6;Wtórny;;Blok;"OPIS
Do sprzedania mieszkanie które świetnie sprawdzi się jako inwestycja, jak i miejsce do zamieszkania. Bardzo funkcjonalny układ pomógł w realizacji 2 pokoi, łazienki, oddzielnej kuchni na zaledwie 31m2. Mieszkanie jest od lat wynajęte przez te same osoby, ale możemy je sprzedać bez najemców. Mieszkanie posiada założoną księgę wieczystą, można kredytować zakup.

Mieszkanie znajduje się na Woli, przy ulicy Okocimskiej. W bezpośrednim sąsiedztwie metra księcia Janusza.

Powierzchnia 30,47m2
piętro 6 w budynku z 1975 roku z windą
Ekspozycja zachodnia - wnętrza są jasne nasłonecznione
Mieszkanie po generalnym remoncie około 3 lata temu. Wymienione instalacje, nałożone nowe tynki, Okna dźwiękoszczelne.

Na pytania odpowiem telefonicznie 888 - 081 - 815";Wola;2025-03-22;https://www.olx.pl/d/oferta/mieszkanie-dwa-pokoje-przy-metrze-ksiecia-janusza-CID3-ID14Hlsv.html
849 000 zł;Cena za m²: 19295.45 zł/m²;44;2;3;Wtórny;;Kamienica;"OPIS
Nowoczesne, wyremontowane mieszkanie 43,81 m² – komfort i świetna lokalizacja!
Szukasz mieszkania w sercu Warszawy, w miejscu, gdzie nowoczesność spotyka się z historią,
a wygoda z doskonałą komunikacją? To mieszkanie przy ul. Nowolipie 13/15 to propozycja,
która spełni oczekiwania nawet najbardziej wymagających!
Styl i komfort – gotowe do zamieszkania!
Mieszkanie przeszło gruntowny remont, dzięki czemu pachnie nowością i świeżością. Każdy
detal został starannie przemyślany – nowoczesne meble, które zapewniają funkcjonalność i
estetykę, a także nowy piekarnik i pralka, dzięki którym codzienne obowiązki stają się czystą
przyjemnością. Jasne ściany i przemyślane oświetlenie dodają wnętrzu przestronności, a
praktyczny układ pomieszczeń sprawia, że mieszkanie jest niezwykle ustawne.
Lokalizacja – wszędzie blisko!
To idealne miejsce dla tych, którzy cenią miejskie życie i doskonałą komunikację. W promieniu
kilku minut spacerem znajdziesz:
Restauracje i fast foody – tuż obok znajdują się KFC, McDonald’s oraz inne lokale
gastronomiczne, idealne na szybki lunch lub wieczorne wyjście ze znajomymi.
Placówki edukacyjne – w pobliżu znajdują się przedszkola, szkoły podstawowe oraz licea, co
czyni tę lokalizację świetnym wyborem także dla młodych rodzin.
Rozrywka i kultura – kilka kroków dzieli Cię od Kina Femina, Opery Kameralnej i Teatru
Capitol. W okolicy znajdziesz także modne kawiarnie i kluby, a jeśli lubisz naturę, to Ogród
Krasińskich zapewni Ci zieloną przestrzeń na relaksujące spacery.
Codzienne zakupy – zaledwie kilka minut pieszo znajduje się Biedronka, co pozwala na
wygodne zaopatrzenie się w najpotrzebniejsze produkty bez potrzeby korzystania z samochodu.
Doskonała komunikacja – zaledwie 4 minuty pieszo do przystanku tramwajowego i
autobusowego „Kino Femina”, skąd szybko dotrzesz do każdego zakątka miasta. Pałac Kultury i
Stare Miasto oddalone są tylko 2 km – na piechotę, rowerem lub komunikacją miejską
dostaniesz się tam w kilka minut!
Bezpieczeństwo – okolica jest monitorowana i regularnie patrolowana, dzięki czemu można
czuć się tutaj komfortowo zarówno w ciągu dnia, jak i wieczorem.
Obiekty sportowe: W okolicy dostępne są siłownie, baseny oraz ścieżki rowerowe, co sprzyja
aktywnemu trybowi życia.
Dla kogo?
Dla singla lub pary, którzy cenią komfort, nowoczesny wystrój i świetną lokalizację.
Dla osób pracujących w centrum, które chcą mieć szybki dojazd do biura i cieszyć się
urokami miasta po pracy.
Dla miłośników życia miejskiego, którzy lubią mieć wszystko na wyciągnięcie ręki – od
restauracji i kin po parki i galerie sztuki.
Nie czekaj – taka oferta nie trafia się codziennie! Zadzwoń i umów się na oglądanie – to
mieszkanie czeka właśnie na Ciebie!";Śródmieście;;https://www.olx.pl/d/oferta/bezposrednio-sprzedam-mieszkanie-srodmiescie-44-m-kw-2-pokoje-CID3-ID13otPI.html
1 667 000 zł;Cena za m²: 19611.76 zł/m²;85;3;1;Wtórny;;Kamienica;"OPIS
Perełka w samym Centrum Warszawy!!!

Oferta na wyłączność, jeszcze nigdzie nie publikowana !!!
Warszawa ul.Koszykowa
1667000,00 PLN ( 19 611,00 m2pow) cena wraz z piwnicą .

Mieszkanie w odrestaurowanej kamienicy z 1953roku. Położone na pograniczu Ochoty i Śródmieścia.

Jedno z niewielu miejsc z możliwością parkingu na terenie zamkniętym kamienicy!!!
Wysokość pomieszczeń 3m.

3 pokoje
85 m2 powierzchni
Pierwsze piętro
Duza piwnica 12,7m 2
Teren zamknięty
Duzy ogród z placem zabaw
Miejsce postojowe na terenie zamkniętym ( jako dodatkowa opcja płatna oddzielnie) !!!

Ogrzewanie miejskie, wliczone w opłaty miesięczne czynszu do wspólnoty .
Miesięczny czynsz około 1300 PLN z zaliczkami za wodę i ogrzewanie.

Doskonały rozkład pomieszczeń!
Świetna oferta dla inwestora .


Zapraszam zainteresowanych do współpracy oraz prezentacji !!!

Współpracuje również z innymi agencjami!

Agnieszka";Ochota;2025-03-22;https://www.olx.pl/d/oferta/mieszkanie-kamienica-3-pok-parking-srodmiescie-CID3-ID1532rX.html
899 000 zł;Cena za m²: 17980 zł/m²;50;2;3;Wtórny;;Apartamentowiec;"OPIS
Oferta na wyłączność! Klucze w biurze!

Ulica: Gieysztora

Na sprzedaż mieszkanie 2 pokojowe o powierzchni ok. 50 mkw, położone na 3 piętrze w budynku 3 piętrowym z windą z 2014 roku.

Na lokal składa się:

- pokój dzienny o powierzchni 18 mkw, z wyjściem na balkon (4,65 mkw),

- kuchnia z oknem o powierzchni 6,7 mkw, otwarta na pokój, meble w zabudowie wraz ze sprzętami,

- sypialnia z balkonem francuskim, o powierzchni ok.10,5 mkw,

- łazienka razem z WC, kabina prysznicowa, o powierzchni 4 mkw,

- garderoba, o powierzchni 1,15 mkw,

- przedpokój z szafą o powierzchni ok. 7 mkw.

Mieszkanie dwustronne, ciepłe, ciche, w stanie bardzo dobrym. Okna drewniane, drewniana podłoga.

Osiedle kameralne, zamknięte, z ochroną, monitorowane. Teren osiedla bardzo ładnie zagospodarowany, z placem zabaw dla dzieci.

Do lokalu przynależy miejsce postojowe w garażu podziemny, dodatkowo płatne.

Pełna własność, z KW. Możliwość posiłkowania się kredytem.

Lokal wolny, do natychmiastowego wydania!

Bardzo dobrze rozwinięta infrastruktura w okolicy: liczne sklepy, punkty usługowe, restauracje, szkoły, przedszkola, park, przychodnia.

Komunikacja:
ok 550 m do przystanku autobusowego, linie: A 139, 163, 164, 200, 251*********** 519 oraz N 31, 50.

ok 700 m do przystanku tramwajowego, linie T 14 i 16.

Gorąco polecam i zapraszam na prezentację!";Wilanów;2025-03-22;https://www.olx.pl/d/oferta/2-pokoje-wilanow-CID3-ID145wi6.html
899 000 zł do negocjacji;Cena za m²: 23509.41 zł/m²;38,24;2;Parter;Wtórny;;Blok;"OPIS
Pośrednikom dziękuję za propozycje współpracy. Proszę nie dzwonić.

[English below]

Właściciel sprzeda bezpośrednio mieszkanie 2-pokojowe wraz z miejscem postojowym w garażu podziemnym i komórką lokatorską oraz pełnym wyposażeniem. Mieszkanie posiada księgę wieczystą.

ul. Marcina Kasprzaka 29c
Budynek wybudowano w 2017r

Rozkład pomieszczeń:

• Salon z aneksem kuchennym.

• Łazienka

• Przedpokój z pojemnymi szafami w zabudowie.

• Sypialnia z wydzieloną garderobą i miejscem do pracy

• Ogród z widokiem na dziedziniec

Czynsz: 800 zł

Miejsce parkingowe dodatkowo płatne: 70 000zł

Główne zalety:

• Idealne pod wynajem krótko- i długoterminowy. Obecnie mieszkanie jet wynajmowanie krótkoterminowo i stale przynosi zyski.

• Nowoczesny budynek monitoringiem, zapewniający bezpieczeństwo i komfort mieszkańcom.

• Mieszkanie w pełni umeblowane nie wymaga dodatkowych nakładów finansowych.

Mieszkanie jest ciche, położone z dala od głównych i osiedlowych ulic, oddalone o ponad 30 metrów od sąsiedniego budynku (widok na dziedziniec i rosnące na nim drzewa). Bardzo dobry punkt komunikacyjny. Tuż obok osiedla przystanek tramwajowy i autobusowy PKP Wola (Kasprzaka) oraz przystanek kolejowy Warszawa Wola.
Odległość do: najbliższej stacji metra (Metro Płocka) - 1,3 km, Dworca Warszawa Zachodnia - 1,5 km, Ronda Daszyńskiego - 2 km, Pałacu Kultury i Nauki - 3,9 km.

Osiedle i bezpośrednia okolica stanowi właściwie małe samowystarczalne miasteczko. Znajduje się tu wiele sklepów spożywczych (Biedronka, Stokrotka, Top Market, Carrefour, Bazarek z warzywami, kilka Żabek), piekarnie, cukiernie, kawiarnie, przychodnie lekarskie, gabinety stomatologiczne, gabinety medycyny estetycznej, fizjoterapeuta, punkty diagnostyczne, apteka, liczne punkty usługowe typu fryzjer/barber, kwiaciarnie, restauracje, pralnie, Hebe a także Paczkomat InPost i Orlen Paczka.

Ponadto, na osiedlu znajduje się ""Park Centralny"" z podświetlanymi fontannami, strefa rekreacyjna składająca się z siłowni plenerowej, stołów do tenisa stołowego, szachów, piłkarzyków oraz boiska do piłki nożnej, siatkówki i koszykówki.

Na osiedlu znajdują się również dwa przedszkola oraz kilka placów zabaw, zaś w bezpośredniej okolicy (sąsiednie ulice) dwie szkoły podstawowe (publiczna i prywatna).

W bliskiej odległości od osiedla trzy parki o zróżnicowanej charakterystyce: Park Szymańskiego, Park Sowińskiego oraz Park Moczydło.

Wejście do lokalu przez zamykany korytarz prowadzący jedynie do czterech mieszkań. Bardzo miłe sąsiedztwo.

Zapraszam do kontaktu w celu umówienia spotkania.

Ogłoszenie nie stanowi oferty w rozumieniu przepisów KC.

I am selling a 2-room apartment directly with a parking space in the underground garage and a storage room. The apartment has a land and mortgage register.

Layout of the rooms:

• Living room with kitchenette.

• Bathroom

• Hallway with spacious built-in wardrobes.

• Bedroom with a separate wardrobe and work space

• Garden overlooking the courtyard

Administration fees: PLN 800

Parking space: PLN 70,000 extra

Main advantages:

• Ideal for short- and long-term rental. Currently, the apartment is rented short-term and constantly brings profits.

• Modern building with monitoring, ensuring safety and comfort of residents.

• The fully furnished apartment does not require additional financial outlays.

The apartment is quiet, located away from the main and housing estate streets, more than 30 meters away from the neighboring building.. Very good communication point. Right next to the estate there is a tram and bus stop PKP Wola (Kasprzaka) and a train stop Warszawa Wola.

Distance to: the nearest metro station (Metro Płocka) - 1.3 km, Warszawa Zachodnia Railway Station - 1.5 km, Rondo Daszyńskiego - 2 km, Palace of Culture and Science - 3.9 km.

The estate and the immediate vicinity are practically a small self-sufficient town. There are many grocery stores (Biedronka, Stokrotka, Top Market, Carrefour, Bazarek z warzywami, several Żabka), bakeries, confectioneries, cafes, medical clinics, dental offices, aesthetic medicine offices, physiotherapist, diagnostic points, pharmacy, numerous service points such as hairdresser/barber, florists, restaurants, laundries, Hebe as well as InPost and Orlen Paczka parcel lockers.

In addition, the estate includes the ""Central Park"" with illuminated fountains, a recreational area consisting of an outdoor gym, table tennis tables, chess, table football and a football, volleyball and basketball court.

The estate also has two kindergartens and several playgrounds, and in the immediate vicinity (neighboring streets) two primary schools (public and private).

In close proximity to the estate, there are three parks with different characteristics: Szymańskiego Park, Sowińskiego Park and Moczydło Park.

Entrance to the premises through a closed corridor leading only to four apartments. Very nice neighborhood.

I invite you to contact me to arrange a meeting.";Wola;2025-03-20;https://www.olx.pl/d/oferta/mieszkanie-z-ogrodkiem-38-24m2-bliska-wola-ul-kasprzaka-29c-CID3-ID151drG.html
458 000 zł;Cena za m²: 16298.93 zł/m²;28,10;1;3;Wtórny;;Blok;"OPIS
AGENCJOM NIERUCHOMOŚCI Z GÓRY, PROSZĘ NIE DZWONIĆ.

Oferuję bardzo fajne mieszkanie, jednopokojowe - kawalerka na 3 piętrze /3,
bez windy.
Mieszkanie idealne dla studentów i nie tylko z uwagi na swoje bardzo dobre położenie jest atrakcyjnym miejscem do tego aby w nim zamieszkać lub nabyć jako inwestycję. Mieszkanie umeblowane, położone w budynku przy ul. Bonifacego 90
na Warszawskiej Sadybie.
Lokal o powierzchni 28.10 m2,
jest położony 6.4 km. od centrum miasta ( w linii prostej )
Teren nie jest obięty strefą płatnego parkowania.
Lokal posiada komórkę o pow. ok. 2.5 m2
Stan lokalu: do zamieszkania,
Forma własności: pełna własność,
Rynek: wtórny
Ogrzewanie: centralne
Okna PCV: stan b. dobry,

Mieszkanie położone jest w budynku bardzo dobrze usytuowanym.
Ma zapewnioną BARDZO DOBRĄ KOMUNIKACJĘ w pobliżu liczne linie komunikacyjne autobusowe 2 min. a tramwajowe 10 min. z
pętlą autobusową łącznie oraz Centrum Handlowe Sadyba Best Mall. - gdzie trzeba przejść tylko przez ulicę.
Na miejscu:
Kino Imax, przedszkola, szkoła, żłobek, apteki, banki, wszelkiego rodzaju sklepy.
Dużo terenów zielonych, parki, jeziorko czerniakowskie.

Jeżeli zainteresowała Cię ta nieruchomość, zapraszam do kontaktu i prezentacji.

Agencjom Nieruchomości dziękuję.
Proszę nie dzwonić.

Treść ogłoszenia jest o charakterze informacyjnym i nie stanowi oferty handlowej
w myśl art. 66 par. 1 Kodeksu Cywilnego";Mokotów;2025-03-21;https://www.olx.pl/d/oferta/sadyba-kawalerka-28-m2-super-lokalizacja-atrakcyjna-cena-umeblowana-CID3-ID13NhUK.html
