price;price_per_meter;area;rooms;floor;market_type;furnished;building_type;description;district;date;url
1 098 000 zł do negocjacji;Cena za m²: 15464.79 zł/m²;71;3;8;Wtórny;Nie;Blok;"OPIS
* Przestronne i słoneczne mieszkanie z widokiem na panoramę Bielan *
Chcesz mieszkać z pięknym widokiem z okna? Świetnie położonym i skomunikowanym?
To mieszkanie Cię zachwyci!

• Przestronne trzy pokoje z dużymi oknami
• Mieszkanie pięknie doświetlone (ekspozycja płd. I płd.-zach)
• Świetnia komunikacja - w centrum jesteś w 15 minut
• Stacja Metra 5 min spacerkiem
• Piękny widok na panoramę Bielan i Warszawy
• Cicha i spokojna okolica - idealna do relaksu
• Żłobek, przedszkole, szkoła podstawowa, liceum - wszystko jest na miejscu
• Wszystko czego potrzebujesz jest na miejscu, ale jeśli chcesz to w centrum jesteś w 15 minut
• Obok park, ładny staw, siłownia pod chmurką i tereny zielone - idealne dla osób aktywnych i ceniących przyrodę
• Mieszkanie, które spełni Twoje marzenia o idealnym domu

• Możesz OSZCZĘDZIĆ od 34'500 zł do 57'000 zł* na prowizji pośrednika bo sprzedaję bezpośrednio!

Przestronne, ustawne i słoneczne mieszkanie w warszawskiej dzielnicy Bielany przy ul. Dantego.

Komfortowe mieszkanie o powierzchni 70.90 m² o południowo-zachodniej ekspozycji, składające się z 3 pokoi, w tym pokoju dziennego 23.80 m², dwóch pokoi po 11.10 m², oddzielnej kuchni 6.60 m², łazienki (2.60 m²), WC (1.50 m²) i przedpokoju o powierzchni 10,80 m² i oddzielna garderoba 3,9 m².

Pokój dzienny z dużym balkonem o południowej ekspozycji z szerokim widokiem na panoramę Bielan świetnie nadaje się na chwilę odpoczynku przy popołudniowej kawie
Dodatkowo komórka lokatorska o powierzchni 2.03 m².

Osoby ceniące komfort i przestrzeń świetnie się tu odnajdą: duże (ale nie ogromne) pokoje, funkcjonalny układ i dodatkowe pomieszczenia, takie jak garderoba (czy spiżarnia), zapewniają wygodę.

Mieszkanie położone w świetnej lokalizacji:
- stacja Metra (420 metrów)
- liczne połączenia autobusowe (400 m)
- bazarek Wolumen ze dostawami świeżych warzyw, owoców od lokalnych dostawców (400 m)
- liczne sklepy w okolicy: Biedronka (140 m), Lidl (750m), Carrefour (900 m)
- apteka (140 m)
- kompleks sportowy, w tym basen, CSR Bielany (700 m)
- szkoła podstawowa (300 m),
- przedszkole (300 m)
- liceum ogólnokształcące (500 m)
- bliskość Parku Bielańskiego (900 m)
- Akademia Wychowania Fizycznego (2 km)
- Szpital Bielański (1,4 km)
- przychodnie zdrowia państwowe i prywatne
- Galeria Handlowa Północna

Świetna komunikacja i pełna infrastruktura w okolicy. Idealne dla rodziny z dziećmi, dzięki bliskości przedszkoli, szkół i placów zabaw.

Mieszkanie jest słoneczne i przytulne, z pięknym widokiem z 8. piętra, stwarzając idealne warunki do życia.

Zapewnij sobie bezpieczeństwo i komfort na miejscu i świetną komunikację z Centrum miasta.

Oferta mieszkania jest dostępna na wielu portalach bez pośredników i ekstra prowizji.

* Sprzedaż bez pośrednika. Możesz oszczędzić od ok. 34'000 zł do 57'400 zł - tyle wynosi wartość typowej prowizji 3-5%, którą zapłacisz pośrednikowi dla nieruchomości o tej wartości. Czy warto? No raczej warto!

Nie zwlekaj, to okazja, której nie możesz przegapić!
Zadzwoń już teraz i umów się na obejrzenie! :)";Bielany;;https://www.olx.pl/oferta/sloneczne-mieszkanie-m3-z-widokiem-kolo-metra-warszawa-bielany-CID3-ID14AhkW.html
614 000 zł;Cena za m²: 14795.18 zł/m²;41,50;1;1;Wtórny;Tak;Blok;"OPIS
Bardzo ładna, gustownie urządzona kawalerka przy ul. Strumykowej na Tarchominie, 41.5 m2, duży salon, łatwy do podzielenia na strefy oraz aneks kuchenny, możliwy podział mieszkania na dwa pokoje i aneks kuchenny, mieszkanie umeblowane, w pełni wyposażone, elegancka łazienka, balkon, 1 piętro, osiedle strzeżone,

Budynek 4-piętrowy, cicha i spokojna okolica, bardzo ładnie położone, dużo zieleni.
Wygodne połączenia komunikacją miejską do metra i centrum (10 min do przystanku tramwajowego oraz autobusowego). W pobliżu znajdują się sklepy, lokale usługowe, szkoła, przedszkola, las, tereny zielone oraz boiska.
Dodatkowo miejsce parkingowe na osiedlu strzeżonym blisko wejścia do budynku w cenie 20 tys. PLN.
Aktualny czynsz 700 PLN /mies. (w tym zaliczki na media).

Tylko sprzedaż bezpośrednia. Agencjom nieruchomości i pośrednikom dziękuję.

A very nice, glamorously decorated studio apartment at ul. Strumykowa in Tarchomin, 41.5 m2, large living room, easy to divide into zones and a kitchenette, possible division of the apartment into two rooms and a kitchenette, furnished apartment, fully equipped, elegant bathroom, balcony, 1st floor, guarded housing estate, 4-story building, quiet and peaceful neighborhood, very nice location, lots of green areas. Convenient public transport connections to the metro and city center (10 minutes to the tram and bus stop). Nearby there are shops, service premises, school, kindergartens, forest, green areas and sports fields. Additionally, a private parking place in a guarded estate close to the entrance to the building for PLN 20,000. Current rent: PLN 700/month (including advance payments for utilities).

Direct sales only. Real estate agencies and intermediaries are kindly requested not to contact me.";Białołęka;2025-03-29;https://www.olx.pl/oferta/studio-z-mozliwoscia-2-pok-41-5m2-strumykowa-tarchomin-CID3-ID14OvVZ.html
750 000 zł do negocjacji;Cena za m²: 12931.03 zł/m²;58;4;2;Wtórny;Tak;Blok;"OPIS
Na sprzedaż przestronne, 4-pokojowe mieszkanie z balkonem i 2. piwnicami, znajdujące się na 2. piętrze w budynku po termomodernizacji przeprowadzonej w zeszłym roku. Dzięki uregulowanym gruntom i księdze wieczystej istnieje możliwość zakupu na kredyt hipoteczny. Dodatkowym atutem jest wyposażenie mieszkania, które pozostaje w cenie – wchodzisz i mieszkasz bez dodatkowych inwestycji!

Najważniejsze atuty mieszkania:
• Przemyślany układ 4-pokojowy – idealny dla rodzin, gdzie każdy znajdzie swoją przestrzeń
• Uregulowane grunty i księga wieczysta – łatwiejszy proces zakupu, także na kredyt
• Nowa instalacja elektryczna oraz wymienione piony i zawory wodno-kanalizacyjne – bez obaw o przyszłe remonty
• Budynek po termomodernizacji – ciepłe i bardziej oszczędne w utrzymaniu
• Brak podzielników ciepła – komfort i ciepło bez ograniczeń
• Dwustronne okna (wschód-zachód) – mieszkanie jasne i słoneczne przez cały dzień
• Balkon oraz dwie piwnice – dodatkowa przestrzeń do przechowywania i relaksu
• Wyposażenie mieszkania w cenie – oszczędzasz czas i pieniądze

Lokalizacja, która robi różnicę:
Świetne połączenie komunikacyjne – tylko 20 minut SKM do centrum Warszawy. W najbliższym otoczeniu znajdziesz wszystko, czego potrzebujesz na co dzień:
• Szkoła podstawowa, przedszkole i żłobek – doskonała infrastruktura dla rodzin z dziećmi
• Pasaż handlowy (300 m) z Biedronką, Rossmannem, sklepami oraz przychodnią POZ – zakupy i usługi pod ręką

To mieszkanie to idealne połączenie komfortu, funkcjonalności i doskonałej lokalizacji.

Proszę o kontakt wyłącznie od osób prywatnych – agencjom nieruchomości dziękuję.";Ursus;2025-03-26;https://www.olx.pl/oferta/bezposrednio-mieszkanie-4-pokojewe-ul-zagloby-z-ksiega-wieczysta-CID3-ID157qJW.html
1 300 000 zł;Cena za m²: 22413.79 zł/m²;58;2;5;Wtórny;Tak;Blok;"OPIS
Piękne mieszkanie dwupokojowe 58m/kw ,duża widna kuchnia z oknem,winda,łazienka z kabiną prysznicową,mieszkanie idealne na inwestycję,centrum Warszawy przy pl.Zbawiciela do metra 50m Politechnika,wkoło mnóstwo kawiarenek,sklepy,mieszkanie wolne od zaraz więcej informacji pod tel 66*****16";Śródmieście;2025-03-28;https://www.olx.pl/oferta/sprzedam-mieszkanie-pl-zbawiciela-58m-kw-dwupokojowe-CID3-ID14Ihtx.html
535 000 zł do negocjacji;Cena za m²: 19712.6 zł/m²;27,14;1;;Pierwotny;Nie;Blok;"OPIS
Oferuję na sprzedaż kawalerkę z ogródkiem na awangardowym osiedlu.

Lokalizacja w dynamicznie rozwijającej się okolicy w poindustrialnej części stolicy - Praga Południe,
ul. Żupnicza, – inwestycja Metro Art 10 od dewelopera Victoria Dom.

O mieszkaniu:

Powierzchnia: 27,14 m²
Układ: przestrzenny salon z aneksem kuchennym, łazienka - do własnej aranżacji.
Dodatkowo: prywatny ogródek (17,42m²)
Ekspozycja: południowy - wschód (dużo naturalnego świata)
Parter – wygodne rozwiązanie osób ceniących bezpośredni dostęp do zieleni
Ogrzewanie miejskie
Osiedle wybudowane w nowoczesnym stylu z zastosowaniem unikalnych rozwiązań w pobliżu planowana jest budowa stacji metra Dworzec Wschodni oraz stacji Metro Mińska - według informacji zamieszczonej na stronie Miasta Stołecznego Warszawy rozpoczęcie prac budowlanych 2028 r.

Doskonała lokalizacja:

Szybki dojazd do:
10 min do Metra Stadion Narodowy
3 min. od Dworca Wschodniego
20 min do Centrum Warszawy
10 min pieszo do Parku Skaryszewskiego
Pełna infrastruktura na wyciągnięcie ręki
Zakup na zasadzie cesji umowy deweloperskiej, dzięki temu nabywca nie zapłaci podatku PCC. Mieszkanie dostępne bez prowizji, bezpośrednio od właściciela.";Praga-Południe;2025-03-29;https://www.olx.pl/oferta/ekskluzywne-mieszkanie-na-pradze-pld-ul-zupnicza-CID3-ID14UPXC.html
449 900 zł;Cena za m²: 18745.83 zł/m²;24;1;Suterena;Wtórny;Tak;Kamienica;"OPIS
Podstawowe zalety: lokal idealnie cichy, słoneczny, po gruntownym remoncie, z widokiem i wyjściem na duży ogród, który jest dostępny tylko dla mieszkańców, przedwojenna kameralna modernistyczna kamienica z 1938 roku, przy jednej z najpiękniejszych uliczek Starego, Górnego Mokotowa, 3 minuty do metra i 5 minut do parku Pole Mokotowskie.
Jasny, słoneczny, idealnie cichy lokal typu studio w przedwojennej zrewitalizowanej kamienicy z 1938 roku (w budynku jest 6 lokali), składający się z dużego pomieszczenia z niewielkim aneksem kuchennym, łazienki oraz garderoby. Dzięki trójskrzydłowemu oknu skierowanemu na ogród, jest bardzo dobrze doświetlony. Po gruntownym remoncie, podczas którego wymieniono wszystkie instalacje (wodną, kanalizacyjną, centralnego ogrzewania) oraz położono nowe podłogi, wymieniono drzwi wewnętrzne, odnowiono ściany. Aneks kuchenny, wykonany na zamówienie przez stolarza, ze zlewozmywakiem oraz płytą elektryczną dwupalnikową. Łazienka z oknem, kabiną prysznicową, toaletą i umywalką. Oprócz tego jest też garderoba z oknem. Lokal z przeznaczeniem zarówno do zamieszkania jak i na gabinet, biuro, czy niewielką pracownię. Modernistyczna kamienica z 1938 roku, ogrodzona, z bardzo zadbaną zielenią. Klatka schodowa oraz elewacja po remoncie. W księdze wieczystej 22,42 m2, w rzeczywistości ok.24 m2.
Jedna z najlepszych lokalizacji na Starym Mokotowie - cicha, jednokierunkowa uliczka ze szpalerem drzew, kameralna przedwojenna zabudowa, bardzo dobre, kulturalne sąsiedztwo. Dosłownie kilka minut pieszo do stacji metra Pole Mokotowskie, w bliskiej odległości przystanki ZTM. Również w zasięgu spaceru Pole Mokotowskie i Park Żołnierzy Radzieckich. Wokół dobre szkoły, przedszkola i żłobki oraz niezbędna infrastruktura: sklepy, piekarnie, bazarek, kawiarnie i restauracje, basen z sauną i siłownią, kino Iluzjon.";Mokotów;2025-03-28;https://www.olx.pl/oferta/kielecka-narbutta-metro-widok-na-ogrod-przedwojenna-kamienica-CID3-ID159jE2.html
495 000 zł do negocjacji;Cena za m²: 15000 zł/m²;33;2;9;Wtórny;Nie;Blok;"OPIS
Witam do sprzedania 2 pokojowe mieszkanie
9 pietro 31.2m2 + komórka 2.2m2 oraz pomieszczenie na parterze 6m2. Świetna lokalizacja zaraz przy wejściu do metra Imielin. Mieszkanie do remontu. Mieszkanie własnościowe, grunty uregulowanie. Więcej informacji na telefon. Posrednikom dziękuję.";Ursynów;2025-03-28;https://www.olx.pl/oferta/wasilkowskiego-przy-metrze-imielin-2-pokoje-CID3-ID14Cbs7.html
1 050 000 zł;Cena za m²: 24249.42 zł/m²;43,30;2;3;Pierwotny;Tak;Apartamentowiec;"OPIS
Mieszkanie o powierzchni 43 ,3 m2 (plus balkon) mieści się na 3 piętrze nowoczesnego budynku, wybudowanego w 2022 r.
Mieszkanie jest w pełni umeblowane- Gotowe do wprowadzenia .
Do mieszkania przynależy miejsce parkingowe (dodatkowo płatne).
Ogromnym atutem apartamentu jest jego lokalizacja.
W pobliżu centrum handlowe ,,Westfield Arkadia,,
Doskonałe połączenie z każdą częścią miasta . Do centrum 10 minut autem.
W bliskiej odległości znajdują się sklepy, lokale usługowe ,szkoły ,przedszkola i restauracje.

Przytulne, przestronne mieszkanie w samym sercu Żoliborza artystycznego.
To idealne miejsce dla osób ceniących wygodę życia miejskiego w otoczeniu pięknej zieleni.

Nie jestem zainteresowana pośrednictwem.";Żoliborz;2025-03-23;https://www.olx.pl/oferta/sprzedam-nowe-mieszkanie-gotowe-do-wprowadzenia-zoliborz-bezposrednio-CID3-ID11yo0E.html
230 000 zł;Cena za m²: 12105.26 zł/m²;19;1;1;Wtórny;Nie;Kamienica;"OPIS
Sprzedam kawalerkę w kamienicy w trakcie rewitalizacji

W budynku nowe instalacje hydrauliczne , elektryczne

Lokal do kapitalnego remontu - możliwość skorzystania z usług zaprzyjaźnionej ekipy remontowej

600 m od stacji SKM
Cicha i spokojna okolica

Sprzedaż jako udział. Zakup za gotówkę lub kredyt gotówkowy

Idealna inwestycja pod wynajem";Wesoła;2025-03-29;https://www.olx.pl/oferta/sprzedam-kawalerke-19-m2-CID3-ID157Uyy.html
849 000 zł;Cena za m²: 19295.45 zł/m²;44;2;3;Wtórny;Tak;Kamienica;"OPIS
Nowoczesne, wyremontowane mieszkanie 43,81 m² – komfort i świetna lokalizacja!
Szukasz mieszkania w sercu Warszawy, w miejscu, gdzie nowoczesność spotyka się z historią,
a wygoda z doskonałą komunikacją? To mieszkanie przy ul. Nowolipie 13/15 to propozycja,
która spełni oczekiwania nawet najbardziej wymagających!
Styl i komfort – gotowe do zamieszkania!
Mieszkanie przeszło gruntowny remont, dzięki czemu pachnie nowością i świeżością. Każdy
detal został starannie przemyślany – nowoczesne meble, które zapewniają funkcjonalność i
estetykę, a także nowy piekarnik i pralka, dzięki którym codzienne obowiązki stają się czystą
przyjemnością. Jasne ściany i przemyślane oświetlenie dodają wnętrzu przestronności, a
praktyczny układ pomieszczeń sprawia, że mieszkanie jest niezwykle ustawne.
Lokalizacja – wszędzie blisko!
To idealne miejsce dla tych, którzy cenią miejskie życie i doskonałą komunikację. W promieniu
kilku minut spacerem znajdziesz:
Restauracje i fast foody – tuż obok znajdują się KFC, McDonald’s oraz inne lokale
gastronomiczne, idealne na szybki lunch lub wieczorne wyjście ze znajomymi.
Placówki edukacyjne – w pobliżu znajdują się przedszkola, szkoły podstawowe oraz licea, co
czyni tę lokalizację świetnym wyborem także dla młodych rodzin.
Rozrywka i kultura – kilka kroków dzieli Cię od Kina Femina, Opery Kameralnej i Teatru
Capitol. W okolicy znajdziesz także modne kawiarnie i kluby, a jeśli lubisz naturę, to Ogród
Krasińskich zapewni Ci zieloną przestrzeń na relaksujące spacery.
Codzienne zakupy – zaledwie kilka minut pieszo znajduje się Biedronka, co pozwala na
wygodne zaopatrzenie się w najpotrzebniejsze produkty bez potrzeby korzystania z samochodu.
Doskonała komunikacja – zaledwie 4 minuty pieszo do przystanku tramwajowego i
autobusowego „Kino Femina”, skąd szybko dotrzesz do każdego zakątka miasta. Pałac Kultury i
Stare Miasto oddalone są tylko 2 km – na piechotę, rowerem lub komunikacją miejską
dostaniesz się tam w kilka minut!
Bezpieczeństwo – okolica jest monitorowana i regularnie patrolowana, dzięki czemu można
czuć się tutaj komfortowo zarówno w ciągu dnia, jak i wieczorem.
Obiekty sportowe: W okolicy dostępne są siłownie, baseny oraz ścieżki rowerowe, co sprzyja
aktywnemu trybowi życia.
Dla kogo?
Dla singla lub pary, którzy cenią komfort, nowoczesny wystrój i świetną lokalizację.
Dla osób pracujących w centrum, które chcą mieć szybki dojazd do biura i cieszyć się
urokami miasta po pracy.
Dla miłośników życia miejskiego, którzy lubią mieć wszystko na wyciągnięcie ręki – od
restauracji i kin po parki i galerie sztuki.
Nie czekaj – taka oferta nie trafia się codziennie! Zadzwoń i umów się na oglądanie – to
mieszkanie czeka właśnie na Ciebie!";Śródmieście;2025-03-29;https://www.olx.pl/oferta/bezposrednio-sprzedam-mieszkanie-srodmiescie-44-m-kw-2-pokoje-CID3-ID13otPI.html
730 000 zł;Cena za m²: 13518.52 zł/m²;54;3;4;Wtórny;Tak;Blok;"OPIS
ROPONUJEMY PAŃSTWU DO ZAKUPU MIESZKANIE NA STEGNACH PRZY UL. CAPRI.
4 PIĘTRO BEZ WINDY.

IDEALNE DLA RODZINY Z DZIEĆMI / POD DZIAŁALNOŚĆ / DO WYNAJMU.

Dwustronne wsch/zach z dużą loggią.

Trzy osobne pokoje, widna kuchnia, łazienka, osobne wc.

Osobna widna kuchnia

Pokój I z wyjściem na loggię 17.5m2

Pokój II - 10m2.

Pokój III - 9m2.

Łazienka - kabina natryskowa, umywalka, pralka.

WC - 1.5m2

Przedpokój ok 7m2 z szafą wnękowa.

Cicho, zielono, bardzo duże przestrzenie między budynkami, miejsce postojowe na strzeżonym parkingu przed blokiem.

W okolicy : Mokpol, Biedronka, szkoła, przedszkole, świetny dojazd do centrum ( tramwaj, autobusy).

SERDECZNIE POLECAM I ZAPRASZAM NA PREZENTACJĘ. KLUCZE W BIURZE";Mokotów;2025-02-28;https://www.olx.pl/oferta/stegny-3-osobne-pokoje-loggia-ul-capri-blisko-tvn-CID3-ID14GAa4.html
820 000 zł;Cena za m²: 14642.86 zł/m²;56;3;2;Wtórny;Tak;Blok;"OPIS
MAMY PRZYJEMNOŚĆ ZAPROPONOWAĆ PAŃSTWU DO ZAKUPU MIESZKANIE TRZYPOKOJOWE NA SADACH ŻOLIBORSKICH UL IZABELII. 2 PIĘTRO W CZTERO PIĘTROWYM BLOKU BEZ WINDY.

56m3 - trzy osobne pokoje, widna kuchnia, balkon.
Pokój dzienny - 18m2.
I sypialnia - 12m2.
II sypialnia / pokój dziecka / gabinet - 10m2.
Widna, osobna kuchnia - 4m2.
Łazienka z wanną - 3,5m2.
Wc - 2m2.
Przedpokój 6m2.

Mieszkanie jest wykończone i częściowo umeblowane ( regał, kanapa, komoda, telewizor, stolik okolicznościowy, łóżko. W sypialni , bardzo pojemna, szafa ubraniowa, lodówka z zamrażarką, kuchenka gazowa z piekarnikiem).
Na podłodze parkiet, glazura, terakota. Po wymianie pionów wod/kan, co.
Czynsz z fr 950zł na dwie osoby. Okna PCV, parapety z konglomeratu, piwnica.

Spółdzielcze własnościowe prawo do lokalu.
Grunty uregulowane można założyć KW.
W pobliżu : przedszkole, szkoła, tramwaje, autobusy, 5 minut do Supermarketu Auchan, 12 minut do Westfield Arkadia.
SERDECZNIE POLECAM I ZAPRASZAM NA PREZENTACJĘ. KLUCZE W BIURZE";Żoliborz;2025-03-24;https://www.olx.pl/oferta/sady-zoliborskie-3-pok-ul-izabelli-CID3-ID14pYUr.html
2 253 000 zł do negocjacji;Cena za m²: 25602.27 zł/m²;88;3;3;Wtórny;Tak;Apartamentowiec;"OPIS
Przestronne i jasne mieszkanie położone w samym sercu warszawskiego Żoliborza.

Świetna lokalizacja to jeden z wielu atutów tej nieruchomości. Spokojna okolica z widokiem na zieleń połączona z bliskością pełnej infrastruktury pozwalającej cieszyć się urokami miejskiego życia.

Mieszkanie o powierzchni niemal 88 m2. Posiada dwustronny rozkład - północny - zachód i południowy - wschód.

Mieszkanie składa się z:

- Salonu z aneksem kuchennym - 40 m.kw.
- Sypialni I - 16,55 m.kw.
- Sypialni II z łazienką - 15,45 m.kw. + 2,67 m.kw.
- Łazienki - 4,23 m.kw.
- Komunikacji - 8,93 m.kw.

Całość zwieńcza taras - 10,83 m.kw. z widokiem na korony drzew.

Mieszkanie jest świetnie zaaranżowane - posiada wiele miejsc do przechowywania, strefa kuchenna posiada zrobioną na wymiar zabudowę wykonaną z fornirowanych mebli i dużą wyspę z blatem roboczym. W korytarzu oraz sypialniach wykonana jest zabudowa szaf garderobianych. 

Do mieszkania przynależą dwa niezależne miejsca w garażu podziemnym oraz przestronna komórka lokatorska - płatne dodatkowo 125 000 zł.

Mieszkanie sprzedawane bez wyposażenia ruchomego - istnieje możliwość pozostawienia za dodatkową opłatą.

Jest to idealne mieszkanie dla rodziny poszukującej swojego spokojnego miejsca na ziemi.

Budynek, w którym znajduje się nieruchomość, wybudowany został w 2014 roku. Składa się on z 9 pięter. W klatce odnajdziemy 2 windy. Osiedle posiada plac zabaw na patio. Na osiedlu odnajdziemy ochronę, a dla gości osiedla jest przygotowany darmowy parking. 

Ogromnym atutem jest również prywatna siłownia, przestronna sala kinowa oraz bawialnia dla dzieci. Dostęp do tych pomieszczeń mają tylko mieszkańcy osiedla i wstęp tam jest dla nich bezpłatny.

W najbliższej okolicy odnajdziemy:

sklep - 50 m
kawiarnia - 150 m
apteka - 100 m
przystanek autobusowy - 150 m
przystanek tramwajowy - 400 m
przedszkole - 150 m
szkoła podstawowa - 450 m

Dojazd do centrum zajmie nam jedynie 15 minut.

Zachęcamy do kontaktu i zapraszamy na prezentację.

Więcej informacji:

79*******90";Żoliborz;;https://www.olx.pl/oferta/apartament-z-widokiem-na-zielen-88-m-kw-zoliborz-CID3-ID124Wuy.html
759 500 zł do negocjacji;Cena za m²: 15500 zł/m²;49;3;3;Wtórny;Tak;Blok;"OPIS
Przyszedł czas sprzedać nasze mieszkanko, gdyż zamarzył nam się dom pod Warszawą.
W związku z tym szukamy zainteresowanych zamieszkaniem w klimatycznym mieszkaniu, fajnymi sąsiadami i super lokalizacji :)

Mieszkanie zlokalizowane jest przy i składa się z trzech niezależnych pokoi, osobnej kuchni z oknem i łazienki.
Mieszkanie zlokalizowane jest na 3 piętrze z 6, rozkład pokoi na obie strony.
Blok wybudowany w 1962 r., pełna własność nieruchomości. Mieszkanie posiada księgę wieczystą, możliwość kredytowania.
Windy i klatki schodowe zostały odnowione w zeszłym roku.
Do mieszkania przynależy piwnica.
Na parterze w bloku znajdują się lokale usługowe oraz sklepy.
Mieszkańcy parkują pod blokiem z kartą mieszkańca.

Mieszkanie znajduje się w świetnej lokalizacji przy ul Wolskiej 111, tuż przy Parku Szymańskiego, a w bliskiej okolicy znajdują się jeszcze inne, piękne parki (Moczydło, Powstańców Warszawy, Sowińskiego). Przy osiedlu jest wiele dostępnych połączeń komunikacyjnych (PKP, autobusy, tramwaje, metro) przystanek PKP Wola Wolska. Do metro Płocka są 2 przystanki lub spacerkiem w 5 minut.

Cena 759 500,00 PLN
Zapraszamy do kontaktu!
Agencjom dziękujemy!";Wola;2025-03-29;https://www.olx.pl/oferta/sprzedam-dwustronne-mieszkanie-3-pokojowe-oddzielna-kuchnia-CID3-ID1530qC.html
895 000 zł;Cena za m²: 17900 zł/m²;50;2;3;Wtórny;Nie;Apartamentowiec;"OPIS
Dzień otwarty: 30 marca 2025, prosimy o wcześniejszy kontakt telefoniczny!

Oferta na wyłączność! Klucze w biurze!

Ulica: Gieysztora

Na sprzedaż mieszkanie 2 pokojowe o powierzchni ok. 50 mkw, położone na 3 piętrze w budynku 3 piętrowym z windą z 2014 roku.

Na lokal składa się:

- pokój dzienny o powierzchni 18 mkw, z wyjściem na balkon (4,65 mkw),

- kuchnia z oknem o powierzchni 6,7 mkw, otwarta na pokój, meble w zabudowie wraz ze sprzętami,

- sypialnia z balkonem francuskim, o powierzchni ok.10,5 mkw,

- łazienka razem z WC, kabina prysznicowa, o powierzchni 4 mkw,

- garderoba, o powierzchni 1,15 mkw,

- przedpokój z szafą o powierzchni ok. 7 mkw.

Mieszkanie dwustronne, ciepłe, ciche, w stanie bardzo dobrym. Okna drewniane, drewniana podłoga.

Osiedle kameralne, zamknięte, z ochroną, monitorowane. Teren osiedla bardzo ładnie zagospodarowany, z placem zabaw dla dzieci.

Do lokalu przynależy miejsce postojowe w garażu podziemny, dodatkowo płatne.

Pełna własność, z KW. Możliwość posiłkowania się kredytem.

Lokal wolny, do natychmiastowego wydania!

Bardzo dobrze rozwinięta infrastruktura w okolicy: liczne sklepy, punkty usługowe, restauracje, szkoły, przedszkola, park, przychodnia.

Komunikacja:
ok 550 m do przystanku autobusowego, linie: A 139, 163, 164, 200, 251*********** 519 oraz N 31, 50.

ok 700 m do przystanku tramwajowego, linie T 14 i 16.

Gorąco polecam i zapraszam na prezentację!";Wilanów;2025-03-29;https://www.olx.pl/oferta/2-pokoje-wilanow-CID3-ID145wi6.html
2 195 000 zł do negocjacji;Cena za m²: 26445.78 zł/m²;83;3;5;Wtórny;Tak;Blok;"OPIS
Sprzedam Apartament 83 m² | Praga Północ, ul. Szwedzka 4

Bez pośredników – nie współpracuję z agencjami.

Na sprzedaż nowoczesne, 3-pokojowe mieszkanie o powierzchni 83 m², położone w budynku z 2021 roku na warszawskiej Pradze Północ (ul. Szwedzka 4). Pietro 5/5.

Rozkład pomieszczeń:

Salon,
Dwie sypialnie,
Kuchnia,
Łazienka z wanną i prysznicem,
Osobne WC,
Pralnia,
balkon (18 m²),
Garderoba.
Wysoki standard wykończenia:

Zaprojektowane od podstaw przez projektanta wnętrz,
Podłogi z dębu wędzonego,
Blaty z kamienia i spieku kwarcowego,
Meble wykonane na zamówienie,
Dwie klimatyzacje z jednostkami zewnętrznymi na dachu, co eliminuje hałas,
prywatna stacja ładowania pojazdów elektrycznych,
podgrzewana podłoga.
Lokalizacja:
Mieszkanie znajduje się w bardzo dobrze skomunikowanej okolicy. W pobliżu stacja metra, przystanki tramwajowe, autobusowe oraz SKM.

Dodatkowe informacje:
Do ceny mieszkania należy doliczyć:

Dwa miejsca postojowe w garażu podziemnym – 80 000 zł za każde,
Komórkę lokatorską obok mieszkania – 30 000 zł.
Mieszkanie gotowe do zamieszkania. Zapraszam do kontaktu.";Praga-Północ;;https://www.olx.pl/oferta/apartament-83-m2-metro-szwedzka-klimatyzacja-ladowanie-elektrykow-CID3-ID151Kef.html
230 000 zł;Cena za m²: 12105.26 zł/m²;19;1;1;Wtórny;Nie;Kamienica;"OPIS
Sprzedam kawalerkę w kamienicy w trakcie rewitalizacji

W budynku nowe instalacje hydrauliczne , elektryczne

Lokal do kapitalnego remontu - możliwość skorzystania z usług zaprzyjaźnionej ekipy remontowej

600 m od stacji SKM
Cicha i spokojna okolica

Sprzedaż jako udział. Zakup za gotówkę lub kredyt gotówkowy

Idealna inwestycja pod wynajem";Wesoła;2025-03-29;https://www.olx.pl/oferta/sprzedam-kawalerke-19-m2-CID3-ID157Uyy.html
